01/01/2021;expense;21300
01/01/2021;profit;210000
02/01/2021;expense;1000
03/01/2021;expense;1000
04/01/2021;expense;1000
05/01/2021;expense;23440
06/01/2021;expense;1000
07/01/2021;expense;1000
08/01/2021;expense;99000
09/01/2021;expense;55000
09/01/2021;expense;4300
10/01/2021;expense;100
10/01/2021;expense;100
11/01/2021;expense;100
12/01/2021;expense;100
13/01/2021;expense;2000
14/01/2021;expense;3000
15/01/2021;expense;4000
01/01/2021;profit;21300
01/01/2021;profit;210000
02/01/2021;profit;1000
03/01/2021;profit;1000
04/01/2021;profit;1000
05/01/2021;profit;23440
06/01/2021;profit;1000
07/01/2021;expense;1000
08/01/2021;expense;99000
09/01/2021;profit;55000
09/01/2021;expense;4300
10/01/2021;expense;100
10/01/2021;expense;100
11/01/2021;expense;100
12/01/2021;expense;100
13/01/2021;expense;2000
14/01/2021;expense;3000
15/01/2021;profit;4000
